carat,depth,table,x,y,z,symmetry_val,Good,Ideal,Premium,Very Good,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
1.07,62.0,57.0,6.52,6.57,4.06,0.9923896499238964,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.02,59.1,60.0,6.61,6.51,3.88,1.015360983102919,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0.59,62.2,59.0,5.38,5.34,3.33,1.00749063670412,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,61.3,60.0,6.39,6.43,3.93,0.9937791601866252,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.44,63.2,54.8,7.18,7.21,4.54,0.9958391123439668,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.41,61.2,58.0,4.78,4.76,2.92,1.0042016806722691,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.75,60.2,60.0,5.89,5.93,3.56,0.9932546374367622,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1.04,62.4,58.0,6.49,6.4,4.02,1.0140625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.31,61.3,56.0,4.38,4.39,2.69,0.9977220956719818,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.57,62.1,56.0,5.3,5.33,3.3,0.9943714821763602,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.01,64.6,59.0,6.23,6.3,4.05,0.9888888888888892,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.22,62.3,56.0,6.84,6.81,4.25,1.0044052863436124,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.91,62.8,58.0,6.16,6.13,3.86,1.0048939641109298,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.11,58.9,59.0,6.82,6.76,4.0,1.0088757396449706,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.03,61.4,55.0,6.5,6.53,4.0,0.9954058192955588,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.9,62.5,63.0,6.11,6.14,3.83,0.995114006514658,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.33,60.3,60.0,4.49,4.47,2.7,1.0044742729306488,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.92,61.4,55.0,6.29,6.25,3.85,1.0064,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.42,61.5,59.0,4.84,4.78,2.96,1.01255230125523,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.25,58.9,58.0,7.04,7.08,4.16,0.9943502824858756,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0.53,62.0,55.0,5.16,5.19,3.21,0.9942196531791908,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.35,61.5,57.0,4.54,4.53,2.79,1.0022075055187638,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.3,63.1,59.0,4.2,4.27,2.67,0.9836065573770492,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1.01,61.6,61.0,6.46,6.36,3.95,1.0157232704402517,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.5,64.0,58.0,7.14,7.17,4.58,0.99581589958159,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.91,62.8,57.0,6.12,6.17,3.86,0.9918962722852512,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.32,63.1,56.0,4.37,4.34,2.75,1.0069124423963134,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0.3,62.5,57.0,4.29,4.32,2.69,0.9930555555555556,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.42,62.6,60.0,7.14,7.17,4.48,0.99581589958159,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.01,61.9,55.3,6.43,6.5,4.01,0.9892307692307692,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.6,62.2,58.0,7.5,7.44,4.65,1.0080645161290325,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.74,60.2,58.0,5.92,5.88,3.55,1.0068027210884354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.31,61.9,58.0,4.35,4.38,2.7,0.9931506849315068,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.26,62.0,56.0,6.92,6.94,4.3,0.9971181556195964,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3,62.3,54.0,4.3,4.34,2.69,0.9907834101382488,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.75,62.6,55.0,5.72,5.79,3.6,0.9879101899827288,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
